TimeStart,TimeEnd,TBD910Status,TBD910MonthlyAvgTemp,TBD910AnnualAvgTemp,TBD910PeriodsOfGoodQualityDataPct,TBD910PeriodsOfGoodQualityDataDays,TBD911Status,TBD911MonthlyAvgTemp,TBD911AnnualAvgTemp,TBD911PeriodsOfGoodQualityDataPct,TBD911PeriodsOfGoodQualityDataDays,TBD912Status,TBD912MonthlyAvgTemp,TBD912AnnualAvgTemp,TBD912PeriodsOfGoodQualityDataPct,TBD912PeriodsOfGoodQualityDataDays
2020-01-01T12:00:00,2020-01-31T12:00:00,IN SERVICE,214.48994002803678,NaN,1,31,IN SERVICE,60.226209086756555,NaN,1,31,IN SERVICE,60.06697747015184,NaN,1,31
2020-02-01T12:00:00,2020-02-29T12:00:00,IN SERVICE,214.48940303407866,NaN,1,29,IN SERVICE,58.451405492322195,NaN,1,29,IN SERVICE,58.79378759449926,NaN,1,29
2020-03-01T12:00:00,2020-03-31T12:00:00,IN SERVICE,214.3904492778163,NaN,1,31,IN SERVICE,68.94873723676127,NaN,1,31,IN SERVICE,70.2679923272902,NaN,1,31
2020-04-01T12:00:00,2020-04-30T12:00:00,IN SERVICE,214.3785405476888,NaN,1,30,IN SERVICE,72.55615158081055,NaN,1,30,IN SERVICE,72.40111592610677,NaN,1,30
2020-05-01T12:00:00,2020-05-31T12:00:00,IN SERVICE,214.30681683940273,NaN,1,31,IN SERVICE,77.70350130142704,NaN,1,31,IN SERVICE,77.59991036691973,NaN,1,31
2020-06-01T12:00:00,2020-06-30T12:00:00,IN SERVICE,214.26376393636068,NaN,1,30,IN SERVICE,83.16929931640625,NaN,1,30,IN SERVICE,83.29353154500326,NaN,1,30
2020-07-01T12:00:00,2020-07-31T12:00:00,IN SERVICE,214.26101832236014,NaN,1,31,IN SERVICE,85.71546123873803,NaN,1,31,IN SERVICE,85.90926090363533,NaN,1,31
2020-08-01T12:00:00,2020-08-31T12:00:00,IN SERVICE,214.24092840379285,NaN,1,31,IN SERVICE,86.46967094175277,NaN,1,31,IN SERVICE,86.28340321202433,NaN,1,31
2020-09-01T12:00:00,2020-09-30T12:00:00,IN SERVICE,214.29088389078777,NaN,1,30,IN SERVICE,83.07666473388672,NaN,1,30,IN SERVICE,82.09017486572266,NaN,1,30
2020-10-01T12:00:00,2020-10-31T12:00:00,IN SERVICE,214.34993473176033,NaN,1,31,IN SERVICE,75.63045846262285,NaN,1,31,IN SERVICE,74.60267725298482,NaN,1,31
2020-11-01T12:00:00,2020-11-30T12:00:00,IN SERVICE,NaN,NaN,0,29,IN SERVICE,69.0667881011963,NaN,1,30,IN SERVICE,68.7390199025472,NaN,1,30
2020-12-01T12:00:00,2020-12-31T12:00:00,IN SERVICE,214.47825031895792,NaN,1,31,IN SERVICE,57.56805284561649,NaN,1,31,IN SERVICE,57.21425370247133,NaN,1,31
2021-01-01T12:00:00,2021-01-31T12:00:00,IN SERVICE,214.49347317603326,NaN,1,31,IN SERVICE,56.764161632907005,NaN,1,31,IN SERVICE,57.031364317863215,NaN,1,31
